	x_val	y_val	z_val
0	0	5	0.0
1	0	6	0.0
2	0	7	0.0
3	0	8	0.0
4	0	9	0.0
5	0	10	0.0
6	0	11	0.0
7	0	12	0.0
8	0	13	0.0
9	0	14	0.0
10	0	15	0.0
11	0	16	0.0
12	0	17	0.0
13	0	18	0.0
14	0	19	0.0
15	0	20	0.0
16	0	21	0.0
17	0	22	0.0
18	0	23	0.0
19	0	24	0.0
20	0	25	0.0
21	0	26	0.0
22	0	27	0.0
23	0	28	0.0
24	0	29	0.0
25	0	30	0.0
26	0	31	0.0
27	0	32	0.0
28	0	33	0.0
29	0	34	0.0
30	0	35	0.0
31	0	36	0.0
32	0	37	0.0
33	0	38	0.0
34	0	39	0.0
35	0	40	0.0
36	0	41	0.0
37	0	42	0.0
38	0	43	0.0
39	0	44	0.0
40	0	54	0.0
41	0	55	0.0
42	0	56	0.0
43	0	57	0.0
44	0	58	0.0
45	0	59	0.0
46	0	60	0.0
47	0	61	0.0
48	0	62	0.0
49	0	63	0.0
50	0	64	0.0
51	0	65	0.0
52	0	66	0.0
53	0	67	0.0
54	0	68	0.0
55	0	69	0.0
56	0	70	0.0
57	0	71	0.0
58	0	72	0.0
59	0	73	0.0
60	0	74	0.0
61	0	75	0.0
62	0	76	0.0
63	0	77	0.0
64	0	87	0.0
65	0	88	0.0
66	0	89	0.0
67	0	90	0.0
68	0	91	0.0
69	0	92	0.0
70	0	93	0.0
71	0	94	0.0
72	0	95	0.0
73	0	96	0.0
74	0	97	0.0
75	0	98	0.0
76	0	99	0.0
77	0	100	0.0
78	1	5	0.0
79	1	6	0.0
80	1	7	0.0
81	1	8	0.0
82	1	9	0.0
83	1	10	0.0
84	1	11	0.0
85	1	12	0.0
86	1	13	0.0
87	1	14	0.0
88	1	15	0.0
89	1	16	0.0
90	1	17	0.0
91	1	18	0.0
92	1	19	0.0
93	1	20	0.0
94	1	21	0.0
95	1	22	0.0
96	1	23	0.0
97	1	39	0.0
98	1	40	0.0
99	1	41	0.0
100	1	42	0.0
101	1	43	0.0
102	1	44	0.0
103	1	54	0.0
104	1	55	0.0
105	1	56	0.0
106	1	57	0.0
107	1	58	0.0
108	1	59	0.0
109	1	60	0.0
110	1	61	0.0
111	1	62	0.0
112	1	63	0.0
113	1	64	0.0
114	1	65	0.0
115	1	66	0.0
116	1	76	0.0
117	1	77	0.0
118	1	87	0.0
119	1	88	0.0
120	1	89	0.0
121	1	90	0.0
122	1	91	0.0
123	1	92	0.0
124	1	93	0.0
125	1	94	0.0
126	1	95	0.0
127	1	96	0.0
128	1	97	0.0
129	1	98	0.0
130	1	99	0.0
131	1	100	0.0
132	2	5	0.0
133	2	6	0.0
134	2	7	0.0
135	2	8	0.0
136	2	9	0.0
137	2	10	0.0
138	2	11	0.0
139	2	12	0.0
140	2	13	0.0
141	2	14	0.0
142	2	15	0.0
143	2	16	0.0
144	2	17	0.0
145	2	18	0.0
146	2	19	0.0
147	2	20	0.0
148	2	21	0.0
